Fecha,Cantidades,Total del día,Año,Mes
02/01/2025,60,60,2025,1
03/01/2025,60,280,340,2025,1
09/01/2025,110,280,390,2025,1
10/01/2025,80,120,200,2025,1
13/01/2025,50,50,2025,1
15/01/2025,110,110,2025,1
16/01/2025,110,110,2025,1
17/01/2025,50,90,140,2025,1
21/01/2025,90,90,2025,1
22/01/2025,90,60,150,2025,1
23/01/2025,70,70,2025,1
24/01/2025,80,80,2025,1
27/01/2025,50,50,2025,1
29/01/2025,60,60,2025,1
30/01/2025,300,220,520,2025,1
31/01/2025,100,110,210,2025,1
